2019-09-27 12:03:48.345 | SUCCESS  | __main__:main:85 - RESP: success
2019-09-27 12:03:49.148 | INFO     | __main__:main:172 - Stock market cap percent
class StockMarketCapPercent { Sort=607, Code=2115, Name=六暉-KY, Percent=0.0108% }
class StockMarketCapPercent { Sort=122, Code=2201, Name=裕隆, Percent=0.1034% }
class StockMarketCapPercent { Sort=116, Code=2204, Name=中華, Percent=0.1088% }
class StockMarketCapPercent { Sort=219, Code=2206, Name=三陽工業, Percent=0.0549% }
class StockMarketCapPercent { Sort=24, Code=2207, Name=和泰車, Percent=0.7601% }
class StockMarketCapPercent { Sort=286, Code=2208, Name=台船, Percent=0.0375% }
class StockMarketCapPercent { Sort=66, Code=2227, Name=裕日車, Percent=0.2330% }
class StockMarketCapPercent { Sort=338, Code=2228, Name=劍麟, Percent=0.0311% }
class StockMarketCapPercent { Sort=113, Code=2231, Name=為升, Percent=0.1107% }
class StockMarketCapPercent { Sort=860, Code=2236, Name=百達-KY, Percent=0.0032% }
class StockMarketCapPercent { Sort=284, Code=2239, Name=英利-KY, Percent=0.0380% }
class StockMarketCapPercent { Sort=893, Code=2243, Name=宏旭-KY, Percent=0.0021% }
class StockMarketCapPercent { Sort=45, Code=2301, Name=光寶科, Percent=0.3697% }
class StockMarketCapPercent { Sort=830, Code=2302, Name=麗正, Percent=0.0041% }
class StockMarketCapPercent { Sort=35, Code=2303, Name=聯電, Percent=0.4959% }
class StockMarketCapPercent { Sort=843, Code=2305, Name=全友, Percent=0.0038% }
class StockMarketCapPercent { Sort=16, Code=2308, Name=台達電, Percent=1.1968% }
class StockMarketCapPercent { Sort=243, Code=2312, Name=金寶, Percent=0.0470% }
class StockMarketCapPercent { Sort=110, Code=2313, Name=華通, Percent=0.1203% }
class StockMarketCapPercent { Sort=497, Code=2314, Name=台揚, Percent=0.0174% }
class StockMarketCapPercent { Sort=364, Code=2316, Name=楠梓電, Percent=0.0278% }
class StockMarketCapPercent { Sort=2, Code=2317, Name=鴻海, Percent=3.2350% }
